,timestamp,interval,lastCloseEp,openEp,highEp,lowEp,closeEp,volume,turnoverEv
1618151580,1618151580.0,60.0,594980000.0,595000000.0,596045000.0,595000000.0,595995000.0,2219798.0,3726074152.0
1618151640,1618151640.0,60.0,595995000.0,595995000.0,596185000.0,595995000.0,596180000.0,159713.0,267930467.0
1618151700,1618151700.0,60.0,596180000.0,596185000.0,596600000.0,596185000.0,596600000.0,213919.0,358616107.0
1618151760,1618151760.0,60.0,596600000.0,596600000.0,596645000.0,596595000.0,596645000.0,208623.0,349666444.0
1618151820,1618151820.0,60.0,596645000.0,596660000.0,596660000.0,596655000.0,596660000.0,610818.0,1023735408.0
1618151880,1618151880.0,60.0,596660000.0,596660000.0,596665000.0,596660000.0,596665000.0,223710.0,374934037.0
1618151940,1618151940.0,60.0,596665000.0,596665000.0,596665000.0,596600000.0,596600000.0,328746.0,550987452.0
1618152000,1618152000.0,60.0,596600000.0,596595000.0,596595000.0,596005000.0,596010000.0,1178476.0,1976161793.0
1618152060,1618152060.0,60.0,596010000.0,596015000.0,596035000.0,596015000.0,596035000.0,79793.0,133874058.0
1618152120,1618152120.0,60.0,596035000.0,596030000.0,596035000.0,596010000.0,596010000.0,34680.0,58185115.0
1618152180,1618152180.0,60.0,596010000.0,596005000.0,596010000.0,596005000.0,596005000.0,313667.0,526282310.0
1618152240,1618152240.0,60.0,596005000.0,596010000.0,596010000.0,595865000.0,595865000.0,366473.0,615026856.0
1618152300,1618152300.0,60.0,595865000.0,595870000.0,595870000.0,595865000.0,595865000.0,63510.0,106584470.0
1618152360,1618152360.0,60.0,595865000.0,595840000.0,595840000.0,595515000.0,595515000.0,201445.0,338266913.0
1618152420,1618152420.0,60.0,595515000.0,595515000.0,595670000.0,595515000.0,595670000.0,136840.0,229781664.0
1618152480,1618152480.0,60.0,595670000.0,595665000.0,595670000.0,595665000.0,595670000.0,7029.0,11800156.0
1618152540,1618152540.0,60.0,595670000.0,595675000.0,595675000.0,595670000.0,595670000.0,62532.0,104977428.0
1618152600,1618152600.0,60.0,595670000.0,595675000.0,595830000.0,595670000.0,595825000.0,1004355.0,1686077083.0
1618152660,1618152660.0,60.0,595825000.0,595830000.0,595830000.0,595825000.0,595830000.0,238.0,399440.0
1618152720,1618152720.0,60.0,595830000.0,595835000.0,596450000.0,595835000.0,596450000.0,156094.0,261887893.0
1618152780,1618152780.0,60.0,596450000.0,596440000.0,596535000.0,596440000.0,596535000.0,20140.0,33763181.0
1618152840,1618152840.0,60.0,596535000.0,596570000.0,596570000.0,596550000.0,596550000.0,125040.0,209598354.0
1618152900,1618152900.0,60.0,596550000.0,596550000.0,596555000.0,596455000.0,596455000.0,162193.0,271886881.0
1618152960,1618152960.0,60.0,596455000.0,596455000.0,596455000.0,596090000.0,596090000.0,52708.0,88386117.0
1618153020,1618153020.0,60.0,596090000.0,596090000.0,596095000.0,596090000.0,596095000.0,4349.0,7295865.0
1618153080,1618153080.0,60.0,596095000.0,596095000.0,596095000.0,596090000.0,596090000.0,23473.0,39378261.0
1618153140,1618153140.0,60.0,596090000.0,596090000.0,596095000.0,596090000.0,596090000.0,2752.0,4616712.0
1618153200,1618153200.0,60.0,596090000.0,596095000.0,596655000.0,596095000.0,596625000.0,1208307.0,2026219902.0
1618153260,1618153260.0,60.0,596625000.0,596625000.0,596625000.0,596620000.0,596625000.0,53742.0,90076690.0
1618153320,1618153320.0,60.0,596625000.0,596625000.0,596995000.0,596620000.0,596995000.0,865378.0,1450154048.0
1618153380,1618153380.0,60.0,596995000.0,596995000.0,597450000.0,596995000.0,597450000.0,293322.0,491109931.0
1618153440,1618153440.0,60.0,597450000.0,597450000.0,597450000.0,597445000.0,597450000.0,65086.0,108940338.0
1618153500,1618153500.0,60.0,597450000.0,597450000.0,597450000.0,597075000.0,597100000.0,188419.0,315534422.0
1618153560,1618153560.0,60.0,597100000.0,597080000.0,597080000.0,597080000.0,597080000.0,3086.0,5168483.0
1618153620,1618153620.0,60.0,597080000.0,597085000.0,597675000.0,597085000.0,597500000.0,985702.0,1649634977.0
1618153680,1618153680.0,60.0,597500000.0,597500000.0,597500000.0,597305000.0,597310000.0,136348.0,228269428.0
1618153740,1618153740.0,60.0,597310000.0,597305000.0,597675000.0,597260000.0,597495000.0,325581.0,544917321.0
1618153800,1618153800.0,60.0,597495000.0,597495000.0,597495000.0,597490000.0,597490000.0,16852.0,28204583.0
1618153860,1618153860.0,60.0,597490000.0,597490000.0,597490000.0,597450000.0,597455000.0,10554.0,17664645.0
1618153920,1618153920.0,60.0,597455000.0,597455000.0,597675000.0,597455000.0,597670000.0,612151.0,1024331674.0
1618153980,1618153980.0,60.0,597670000.0,597670000.0,597675000.0,597670000.0,597675000.0,9002.0,15061717.0
1618154040,1618154040.0,60.0,597675000.0,597675000.0,597785000.0,597675000.0,597785000.0,247720.0,414417470.0
1618154100,1618154100.0,60.0,597785000.0,597755000.0,597755000.0,597615000.0,597615000.0,202484.0,338749592.0
1618154160,1618154160.0,60.0,597615000.0,597620000.0,597620000.0,597615000.0,597620000.0,3880.0,6492432.0
1618154220,1618154220.0,60.0,597620000.0,597620000.0,597725000.0,597615000.0,597725000.0,280064.0,468571268.0
1618154280,1618154280.0,60.0,597725000.0,597725000.0,597725000.0,597720000.0,597725000.0,116047.0,194147805.0
1618154340,1618154340.0,60.0,597725000.0,597725000.0,597725000.0,597720000.0,597720000.0,337095.0,563963373.0
1618154400,1618154400.0,60.0,597720000.0,597725000.0,597725000.0,597720000.0,597720000.0,41425.0,69304487.0
1618154460,1618154460.0,60.0,597720000.0,597720000.0,597725000.0,597720000.0,597725000.0,2617.0,4378301.0
1618154520,1618154520.0,60.0,597725000.0,597720000.0,597725000.0,597720000.0,597725000.0,5031.0,8416967.0
1618154580,1618154580.0,60.0,597725000.0,597720000.0,597725000.0,597720000.0,597725000.0,31924.0,53409193.0
1618154640,1618154640.0,60.0,597725000.0,597720000.0,597725000.0,597720000.0,597720000.0,7506.0,12557657.0
1618154700,1618154700.0,60.0,597720000.0,597725000.0,597725000.0,597720000.0,597720000.0,87014.0,145576449.0
1618154760,1618154760.0,60.0,597720000.0,597720000.0,597725000.0,597720000.0,597720000.0,78106.0,130672361.0
1618154820,1618154820.0,60.0,597720000.0,597725000.0,597725000.0,597720000.0,597720000.0,29939.0,50088249.0
1618154880,1618154880.0,60.0,597720000.0,597720000.0,597725000.0,597720000.0,597720000.0,44096.0,73773596.0
